Designator,Mid X,Mid Y,Rotation,Layer
C1,5.0,60.5,90.0,top
D1,20.5,59.5,90.0,top
D2,20.5,52.0,90.0,top
D3,20.5,44.5,90.0,top
D4,20.5,37.0,90.0,top
D5,20.5,29.5,90.0,top
D6,20.5,22.0,90.0,top
D7,20.5,14.5,90.0,top
D8,20.5,7.0,90.0,top
D9,7.0,69.0,180.0,top
J1,14.55,61.5,90.0,top
J10,4.75,51.525,180.0,top
J2,14.55,54.0,90.0,top
J3,14.55,46.5,90.0,top
J4,14.5,39.0,90.0,top
J5,14.55,31.5,90.0,top
J6,14.5,24.0,90.0,top
J7,14.5,16.5,90.0,top
J8,14.5,9.0,90.0,top
J9,4.7525,37.0,0.0,top
Q1,19.5,63.0,180.0,top
Q2,19.5,55.5,180.0,top
Q3,19.5,47.95,180.0,top
Q4,19.4375,40.45,180.0,top
Q5,19.5,33.0,180.0,top
Q6,19.5,25.5,180.0,top
Q7,19.5,18.0,180.0,top
Q8,19.5,10.5,180.0,top
R1,11.0,62.0,270.0,top
R2,11.0,55.0,270.0,top
R3,11.0,47.175,270.0,top
R4,11.0,40.325,270.0,top
R5,11.0,33.5,270.0,top
R6,11.0,26.0,270.0,top
R7,11.0,18.5,270.0,top
R8,11.0,11.0,270.0,top
R9,10.5,69.0,0.0,top
S1,25.75,61.525,180.0,top
S2,25.75,54.025,180.0,top
S3,25.75,46.525,180.0,top
S4,25.75,39.025,180.0,top
S5,25.75,31.525,180.0,top
S6,25.75,24.025,180.0,top
S7,25.75,16.525,180.0,top
S8,25.75,9.025,180.0,top
